"id","device_code","breath_rate","heart_rate","event","timestamp","sleep_stage"
2465489,"9D8A326309E7",9,70,,1762320089,3
2465488,"9D8A326309E7",9,70,,1762320087,3
2465487,"9D8A326309E7",9,68,,1762320085,3
2465486,"9D8A326309E7",9,65,,1762320083,3
2465485,"9D8A326309E7",9,65,,1762320081,3
2465484,"9D8A326309E7",9,65,,1762320079,3
2465483,"9D8A326309E7",9,65,,1762320077,3
2465482,"9D8A326309E7",9,65,,1762320075,3
2465481,"9D8A326309E7",9,65,,1762320073,3
2465480,"9D8A326309E7",9,68,,1762320071,3
2465479,"9D8A326309E7",9,68,,1762320069,3
2465478,"9D8A326309E7",9,68,,1762320067,3
2465477,"9D8A326309E7",9,68,,1762320065,3
2465476,"9D8A326309E7",9,68,,1762320063,3
2465475,"9D8A326309E7",9,68,,1762320061,3
2465474,"9D8A326309E7",9,68,,1762320059,3
2465473,"9D8A326309E7",9,68,,1762320057,3
2465472,"9D8A326309E7",9,63,,1762320055,3
2465471,"9D8A326309E7",9,63,,1762320051,3
2465470,"9D8A326309E7",9,63,,1762320049,3
2465469,"9D8A326309E7",9,63,,1762320047,3
2465468,"9D8A326309E7",9,63,,1762320045,3
2465467,"9D8A326309E7",9,63,,1762320043,3
2465466,"9D8A326309E7",9,65,,1762320041,3
2465465,"9D8A326309E7",9,65,,1762320039,3
2465464,"9D8A326309E7",9,65,,1762320037,3
2465463,"9D8A326309E7",9,65,,1762320035,3
2465462,"9D8A326309E7",9,65,,1762320033,3
2465461,"9D8A326309E7",9,65,,1762320031,3
2465460,"9D8A326309E7",9,61,,1762320029,3
2465459,"9D8A326309E7",9,61,,1762320027,3
2465458,"9D8A326309E7",9,61,,1762320025,3
2465457,"9D8A326309E7",9,61,,1762320023,3
2465456,"9D8A326309E7",9,61,,1762320021,3
2465455,"9D8A326309E7",9,61,,1762320019,3
2465454,"9D8A326309E7",0,0,,1762320017,3
2465453,"9D8A326309E7",0,0,,1762320015,3
2465452,"9D8A326309E7",0,0,,1762320013,3
2465451,"9D8A326309E7",0,0,,1762320011,3
2465450,"9D8A326309E7",0,0,,1762320009,3
2465449,"9D8A326309E7",0,0,,1762320007,3
2465448,"9D8A326309E7",0,0,,1762320005,3
2465447,"9D8A326309E7",0,68,,1762320003,3
2465446,"9D8A326309E7",0,65,,1762320001,3
2465445,"9D8A326309E7",8,65,,1762319978,3
2465444,"9D8A326309E7",8,65,,1762319976,3
2465443,"9D8A326309E7",8,65,,1762319974,3
2465442,"9D8A326309E7",8,65,,1762319972,3
2465441,"9D8A326309E7",8,65,,1762319970,3
2465440,"9D8A326309E7",8,65,,1762319968,3
2465439,"9D8A326309E7",0,0,,1762319966,3
2465438,"9D8A326309E7",0,0,,1762319964,3
2465437,"9D8A326309E7",0,0,,1762319962,3
2465436,"9D8A326309E7",0,0,,1762319960,3
2465435,"9D8A326309E7",0,0,,1762319958,3
2465434,"9D8A326309E7",0,0,,1762319956,3
2465433,"9D8A326309E7",0,0,,1762319954,3
2465432,"9D8A326309E7",0,0,,1762319952,3
2465431,"9D8A326309E7",0,68,,1762319950,3
2465430,"9D8A326309E7",0,68,,1762319948,3
2465429,"9D8A326309E7",18,68,,1762319924,3
2465428,"9D8A326309E7",18,68,,1762319922,3
2465427,"9D8A326309E7",18,65,,1762319920,3
2465426,"9D8A326309E7",18,65,,1762319918,3
2465425,"9D8A326309E7",18,58,,1762319916,3
2465424,"9D8A326309E7",18,58,,1762319914,3
2465423,"9D8A326309E7",18,58,,1762319912,3
2465422,"9D8A326309E7",18,58,,1762319910,3
2465421,"9D8A326309E7",18,58,,1762319908,3
2465420,"9D8A326309E7",18,58,,1762319906,3
2465419,"9D8A326309E7",18,58,,1762319904,3
2465418,"9D8A326309E7",0,0,,1762319902,3
2465417,"9D8A326309E7",0,0,,1762319900,3
2465416,"9D8A326309E7",0,0,,1762319898,3
2465415,"9D8A326309E7",0,0,,1762319896,3
2465414,"9D8A326309E7",0,0,,1762319894,3
2465413,"9D8A326309E7",0,0,,1762319892,3
2465412,"9D8A326309E7",0,0,,1762319890,3
2465411,"9D8A326309E7",0,0,,1762319888,3
2465410,"9D8A326309E7",0,65,,1762319886,3
2465409,"9D8A326309E7",0,65,,1762319884,3
