"id","device_code","breath_rate","heart_rate","event","timestamp","sleep_stage"
22584689,w4lc57jlk4n4d,16,82,,1762416931,2
22584690,w4lc57jlk4n4d,16,82,,1762416931,2
22584677,w4lc57jlk4n4d,16,82,,1762416921,2
22584678,w4lc57jlk4n4d,16,82,,1762416921,2
22584665,w4lc57jlk4n4d,16,81,,1762416911,2
22584666,w4lc57jlk4n4d,16,81,,1762416911,2
22584653,w4lc57jlk4n4d,17,79,,1762416901,2
22584654,w4lc57jlk4n4d,17,79,,1762416901,2
22584641,w4lc57jlk4n4d,16,79,,1762416891,2
22584642,w4lc57jlk4n4d,16,79,,1762416891,2
22584629,w4lc57jlk4n4d,15,80,,1762416881,2
22584630,w4lc57jlk4n4d,15,80,,1762416881,2
22584617,w4lc57jlk4n4d,15,79,,1762416871,2
22584618,w4lc57jlk4n4d,15,79,,1762416871,2
22584605,w4lc57jlk4n4d,15,79,,1762416861,2
22584606,w4lc57jlk4n4d,15,79,,1762416861,2
22584593,w4lc57jlk4n4d,16,74,,1762416851,2
22584594,w4lc57jlk4n4d,16,74,,1762416851,2
22584581,w4lc57jlk4n4d,15,76,,1762416841,2
22584582,w4lc57jlk4n4d,15,76,,1762416841,2
22584569,w4lc57jlk4n4d,14,76,,1762416831,2
22584570,w4lc57jlk4n4d,14,76,,1762416831,2
22584557,w4lc57jlk4n4d,14,82,,1762416821,2
22584558,w4lc57jlk4n4d,14,82,,1762416821,2
22584543,w4lc57jlk4n4d,15,81,,1762416811,2
22584544,w4lc57jlk4n4d,15,81,,1762416811,2
22584533,w4lc57jlk4n4d,15,80,,1762416801,2
22584534,w4lc57jlk4n4d,15,80,,1762416801,2
22584519,w4lc57jlk4n4d,15,85,,1762416791,2
22584520,w4lc57jlk4n4d,15,85,,1762416791,2
22584507,w4lc57jlk4n4d,15,84,,1762416781,2
22584508,w4lc57jlk4n4d,15,84,,1762416781,2
22584497,w4lc57jlk4n4d,15,85,,1762416771,2
22584498,w4lc57jlk4n4d,15,85,,1762416771,2
22584483,w4lc57jlk4n4d,16,82,,1762416761,2
22584484,w4lc57jlk4n4d,16,82,,1762416761,2
22584471,w4lc57jlk4n4d,15,85,,1762416751,2
22584472,w4lc57jlk4n4d,15,85,,1762416751,2
22584463,w4lc57jlk4n4d,15,78,,1762416743,2
22584464,w4lc57jlk4n4d,15,78,,1762416743,2
22584457,w4lc57jlk4n4d,16,77,,1762416741,2
22584458,w4lc57jlk4n4d,16,77,,1762416741,2
22584447,w4lc57jlk4n4d,15,77,,1762416731,2
22584448,w4lc57jlk4n4d,15,77,,1762416731,2
22584435,w4lc57jlk4n4d,15,76,,1762416721,2
22584436,w4lc57jlk4n4d,15,76,,1762416721,2
22584421,w4lc57jlk4n4d,15,79,,1762416711,2
22584422,w4lc57jlk4n4d,15,79,,1762416711,2
22584409,w4lc57jlk4n4d,15,84,,1762416701,2
22584410,w4lc57jlk4n4d,15,84,,1762416701,2
22584399,w4lc57jlk4n4d,15,82,,1762416691,2
22584400,w4lc57jlk4n4d,15,82,,1762416691,2
22584387,w4lc57jlk4n4d,15,82,,1762416681,2
22584388,w4lc57jlk4n4d,15,82,,1762416681,2
22584373,w4lc57jlk4n4d,15,75,,1762416670,2
22584374,w4lc57jlk4n4d,15,75,,1762416670,2
22584363,w4lc57jlk4n4d,14,81,,1762416660,2
22584364,w4lc57jlk4n4d,14,81,,1762416660,2
22584351,w4lc57jlk4n4d,15,83,,1762416650,2
22584352,w4lc57jlk4n4d,15,83,,1762416650,2
22584339,w4lc57jlk4n4d,15,78,,1762416640,2
22584340,w4lc57jlk4n4d,15,78,,1762416640,2
22584327,w4lc57jlk4n4d,16,70,,1762416630,2
22584328,w4lc57jlk4n4d,16,70,,1762416630,2
22584315,w4lc57jlk4n4d,15,72,,1762416620,2
22584316,w4lc57jlk4n4d,15,72,,1762416620,2
22584303,w4lc57jlk4n4d,14,81,,1762416610,2
22584304,w4lc57jlk4n4d,14,81,,1762416610,2
22584291,w4lc57jlk4n4d,14,82,,1762416600,2
22584292,w4lc57jlk4n4d,14,82,,1762416600,2
22584279,w4lc57jlk4n4d,15,82,,1762416590,2
22584280,w4lc57jlk4n4d,15,82,,1762416590,2
22584267,w4lc57jlk4n4d,15,78,,1762416580,2
22584268,w4lc57jlk4n4d,15,78,,1762416580,2
22584255,w4lc57jlk4n4d,15,76,,1762416570,2
22584256,w4lc57jlk4n4d,15,76,,1762416570,2
22584243,w4lc57jlk4n4d,14,79,,1762416560,2
22584244,w4lc57jlk4n4d,14,79,,1762416560,2
22584231,w4lc57jlk4n4d,14,73,,1762416550,2
22584232,w4lc57jlk4n4d,14,73,,1762416550,2
22584219,w4lc57jlk4n4d,13,72,,1762416540,2
22584220,w4lc57jlk4n4d,13,72,,1762416540,2
22584207,w4lc57jlk4n4d,14,79,,1762416530,2
22584208,w4lc57jlk4n4d,14,79,,1762416530,2
22584195,w4lc57jlk4n4d,15,77,,1762416520,2
22584196,w4lc57jlk4n4d,15,77,,1762416520,2
22584183,w4lc57jlk4n4d,15,75,,1762416510,2
22584184,w4lc57jlk4n4d,15,75,,1762416510,2
22584171,w4lc57jlk4n4d,14,71,,1762416500,2
22584172,w4lc57jlk4n4d,14,71,,1762416500,2
22584159,w4lc57jlk4n4d,14,75,,1762416490,2
22584160,w4lc57jlk4n4d,14,75,,1762416490,2
22584147,w4lc57jlk4n4d,14,74,,1762416480,2
22584148,w4lc57jlk4n4d,14,74,,1762416480,2
22584133,w4lc57jlk4n4d,14,76,,1762416470,2
22584134,w4lc57jlk4n4d,14,76,,1762416470,2
22584123,w4lc57jlk4n4d,16,74,,1762416460,2
22584124,w4lc57jlk4n4d,16,74,,1762416460,2
22584111,w4lc57jlk4n4d,15,75,,1762416450,2
22584112,w4lc57jlk4n4d,15,75,,1762416450,2
22584099,w4lc57jlk4n4d,15,72,,1762416440,2
22584100,w4lc57jlk4n4d,15,72,,1762416440,2
22584087,w4lc57jlk4n4d,14,74,,1762416430,2
22584088,w4lc57jlk4n4d,14,74,,1762416430,2
22584075,w4lc57jlk4n4d,13,74,,1762416419,2
22584076,w4lc57jlk4n4d,13,74,,1762416419,2
22584063,w4lc57jlk4n4d,13,73,,1762416409,2
22584064,w4lc57jlk4n4d,13,73,,1762416409,2
22584051,w4lc57jlk4n4d,11,84,,1762416399,2
22584052,w4lc57jlk4n4d,11,84,,1762416399,2
22584039,w4lc57jlk4n4d,14,71,,1762416389,2
22584040,w4lc57jlk4n4d,14,71,,1762416389,2
22584027,w4lc57jlk4n4d,14,71,,1762416379,2
22584028,w4lc57jlk4n4d,14,71,,1762416379,2
22584015,w4lc57jlk4n4d,14,71,,1762416369,2
22584016,w4lc57jlk4n4d,14,71,,1762416369,2
22584003,w4lc57jlk4n4d,14,75,,1762416359,2
22584004,w4lc57jlk4n4d,14,75,,1762416359,2
22583991,w4lc57jlk4n4d,14,74,,1762416349,2
22583992,w4lc57jlk4n4d,14,74,,1762416349,2
22583979,w4lc57jlk4n4d,14,71,,1762416339,2
22583980,w4lc57jlk4n4d,14,71,,1762416339,2
22583967,w4lc57jlk4n4d,14,74,,1762416329,2
22583968,w4lc57jlk4n4d,14,74,,1762416329,2
22583955,w4lc57jlk4n4d,13,70,,1762416319,2
22583956,w4lc57jlk4n4d,13,70,,1762416319,2
22583943,w4lc57jlk4n4d,13,68,,1762416309,2
22583944,w4lc57jlk4n4d,13,68,,1762416309,2
22583931,w4lc57jlk4n4d,13,66,,1762416299,2
22583932,w4lc57jlk4n4d,13,66,,1762416299,2
22583919,w4lc57jlk4n4d,13,66,,1762416289,2
22583920,w4lc57jlk4n4d,13,66,,1762416289,2
22583907,w4lc57jlk4n4d,14,67,,1762416279,2
22583908,w4lc57jlk4n4d,14,67,,1762416279,2
22583895,w4lc57jlk4n4d,15,71,,1762416269,2
22583896,w4lc57jlk4n4d,15,71,,1762416269,2
22583887,w4lc57jlk4n4d,15,71,,1762416263,2
